note,velocity,time,duration
58,102,0,1440
66,102,2400,1440
56,102,3840,3840
66,102,10080,1440
54,102,11520,1440
61,102,13920,1440
58,102,15360,1440
70,102,17760,1440
56,102,19200,3840
70,102,25440,1440
54,102,26880,3840
58,102,30720,1440
66,102,33120,1440
56,102,34560,3840
66,102,40800,1440
54,102,42240,1440
61,102,44640,1440
58,102,46080,1440
70,102,48480,1440
56,102,49920,3840
70,102,56160,1440
54,102,57600,3839
63,102,61440,2880
61,102,64320,960
58,102,65280,3840
54,102,69120,3840
54,102,72960,3840
63,102,76800,2880
61,102,79680,960
58,102,80640,3840
54,102,84480,3840
54,102,88320,7680
